ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11570600,JB377499,08/03/2018 01:16:00 PM,046XX S ST LAWRENCE AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),VEHICLE NON-COMMERCIAL,true,false,0221,002,4,38,18,,,2018,09/10/2022 04:50:59 PM,,,
12457866,JE332953,08/10/2021 04:20:00 PM,016XX W VAN BUREN ST,2018,NARCOTICS,MANUFACTURE / DELIVER - SYNTHETIC DRUGS,VEHICLE NON-COMMERCIAL,true,false,1231,012,27,28,18,,,2021,09/10/2022 04:50:59 PM,,,
12842196,JF413864,03/01/2020 12:00:00 AM,069XX S CALUMET AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0322,003,6,69,11,,,2020,09/29/2022 04:48:23 PM,,,
12842170,JF413886,02/28/2018 09:00:00 AM,128XX S LOWE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0523,005,9,53,11,,,2018,09/29/2022 04:48:23 PM,,,
12842271,JF413989,01/01/2014 08:00:00 PM,035XX S STATE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,CTA TRAIN,false,false,0213,002,3,35,11,,,2014,09/29/2022 04:48:23 PM,,,
12842098,JF413871,03/20/2020 12:01:00 AM,004XX N MC CLURG CT,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,1834,018,42,8,11,,,2020,09/29/2022 04:48:23 PM,,,
12813724,JF380003,04/01/2019 09:00:00 AM,022XX N WASHTENAW AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1431,014,1,22,11,,,2019,09/02/2022 04:48:32 PM,,,
12813228,JF378902,05/15/2021 04:15:00 PM,045XX N Central Park Ave,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1723,017,33,14,11,,,2021,09/02/2022 04:48:32 PM,,,
12843205,JF415101,11/29/2018 09:00:00 AM,039XX W 56TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0822,008,13,62,11,,,2018,09/30/2022 04:48:19 PM,,,
12813046,JF379014,10/01/2008 12:00:00 AM,014XX N LATROBE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,2532,025,37,25,11,,,2008,09/02/2022 04:48:32 PM,,,
12812869,JF378985,08/31/2014 12:00:00 AM,069XX S LAFLIN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0734,007,16,67,11,,,2014,09/02/2022 04:48:32 PM,,,
12843381,JF415451,01/01/2020 12:01:00 AM,081XX W FARRAGUT AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,false,false,1614,016,41,10,11,,,2020,09/30/2022 04:48:19 PM,,,
12843813,JF415893,01/01/2020 12:00:00 AM,022XX E 70TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,0331,003,5,43,11,,,2020,09/30/2022 04:48:19 PM,,,
12812641,JF378620,08/09/2001 11:00:00 AM,025XX W MEDILL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1431,014,1,22,11,,,2001,09/10/2022 04:50:59 PM,,,
12814431,JF380820,12/17/2021 03:00:00 PM,020XX W 18TH PL,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,RESIDENCE,false,false,1234,012,25,31,11,,,2021,09/03/2022 04:48:29 PM,,,
12814348,JF380344,08/27/2022 08:35:00 PM,018XX N MILWAUKEE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1434,014,32,22,11,,,2022,09/03/2022 04:48:29 PM,,,
12813874,JF380066,01/01/2008 01:00:00 AM,037XX W 84TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0834,008,18,70,11,,,2008,09/03/2022 04:48:29 PM,,,
12814080,JF378882,05/17/2018 12:00:00 AM,013XX S WABASH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,0131,001,3,33,11,,,2018,09/03/2022 04:48:29 PM,,,
12813576,JF379811,09/02/2021 12:00:00 AM,036XX W LEXINGTON ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,false,false,1133,011,24,27,11,,,2021,09/04/2022 04:46:04 PM,,,
12815259,JF381657,06/13/2021 12:17:00 PM,067XX S CLYDE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,0331,003,5,43,11,,,2021,09/04/2022 04:48:13 PM,,,
12815354,JF382068,12/14/2020 12:00:00 PM,076XX S KINGSTON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,false,false,0421,004,7,43,11,,,2020,09/04/2022 04:48:13 PM,,,
12816851,JF383705,12/01/2018 12:00:00 PM,001XX E 123RD ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0532,005,9,53,11,,,2018,09/05/2022 04:50:14 PM,,,
12816903,JF375888,03/17/2021 10:00:00 AM,001XX W 87TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER (SPECIFY),false,true,0622,006,21,44,11,,,2021,09/06/2022 04:49:34 PM,,,
12817905,JF384947,09/21/2021 12:00:00 AM,040XX N DRAKE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,1723,017,35,16,11,,,2021,09/06/2022 04:51:41 PM,,,
12813222,JF378950,08/30/2022 08:55:00 AM,017XX W Peterson Ave,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),false,false,2433,024,40,77,11,,,2022,09/06/2022 04:51:41 PM,,,
12817112,JF383933,09/09/2010 12:00:00 AM,011XX N NOBLE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1213,012,27,24,11,,,2010,09/06/2022 04:51:41 PM,,,
12628311,JF156450,11/30/2021 01:40:00 PM,025XX S SPAULDING AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1024,010,12,30,11,,,2021,02/27/2022 03:48:47 PM,,,
12628018,JF156675,12/22/2021 12:01:00 AM,054XX S KEELER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0815,008,23,62,11,,,2021,02/27/2022 03:48:47 PM,,,
